WOA_measurement_Species_Plant_Leaf	Rownames	Measurement	Family	Species	Species_short	Gender	Plant	GF	VPL	LL	LW	LA	LV	LLSH	SHL	CSW	CH	MEX	ML	MH	MW	MA	MTC	CS	CL	CW	CA	CV	MV	LVTMV	LVTMVP	LDMC	SLA	DSLM	FSLM	VPL-W	C-W	FLM-W	DLM-W	FSLM-W	DSLM-W	FWPM-W	DWPM-W	FSM-W	DSM-W	BL-W	BSP-W	LDMC-W	CL-C	CW-C	CH-C
WOA_microscopy_Rhytidiadelphus.squarrosus_Plant2_Leaf3	R. squarrosus_L6	microscopy	Hylocomiaceae	Rhytidiadelphus squarrosus	R. squarrosus	none	Plant 2	pleurocarp	45.24	3650.462	1453.546	3196862.012	26361324.151			1119.368	8.246	FALSE						prosenchymatic	65.309	6.504	424.750	3502.490				672.841	4.06648768423603	0.013	0.019																
WOA_microscopy_Rhytidiadelphus.squarrosus_Plant3_Leaf1	R. squarrosus_L7	microscopy	Hylocomiaceae	Rhytidiadelphus squarrosus	R. squarrosus	none	Plant 3	pleurocarp	37.66	2799.036	1279.732	1916237.025	15801290.508			1119.368	8.246	FALSE						prosenchymatic	78.98	6.142	485.097	4000.112				672.841	6.78412943200489	0.013	0.019																
WOA_microscopy_Rhytidiadelphus.squarrosus_Plant3_Leaf2	R. squarrosus_L8	microscopy	Hylocomiaceae	Rhytidiadelphus squarrosus	R. squarrosus	none	Plant 3	pleurocarp	37.66	3527.587	1558.892	3448528.770	28436568.237			1119.368	8.246	FALSE						prosenchymatic	69.575	5.401	375.753	3098.461				672.841	3.76972351603725	0.013	0.019																
WOA_microscopy_Rhytidiadelphus.squarrosus_Plant3_Leaf3	R. squarrosus_L9	microscopy	Hylocomiaceae	Rhytidiadelphus squarrosus	R. squarrosus	none	Plant 3	pleurocarp	37.66	2904.788	1635.539	2294187.133	18917867.099			1119.368	8.246	FALSE						prosenchymatic	52.955	5.553	294.075	2424.942				672.841	5.66649503565148	0.013	0.019																
WOA_microscopy_Hypnum.cupressiforme_Plant1_Leaf1	H. cupressifomre_L1	microscopy	Hypnaceae	Hypnum cupressiforme	H. cupressiforme	none	Plant 1	pleurocarp	27.95	2067.783	756.743	999587.812	9106911.359			708.453	9.111	FALSE						prosenchymatic	41.558	4.369	181.565	1654.182				648.211	5.89131721915082	0.006	0.010																
WOA_microscopy_Hypnum.cupressiforme_Plant1_Leaf2	H. cupressifomre_L2	microscopy	Hypnaceae	Hypnum cupressiforme	H. cupressiforme	none	Plant 1	pleurocarp	27.95	1952.715	620.613	780440.281	7110331.253			708.453	9.111	FALSE						prosenchymatic	57.007	5.134	292.674	2666.455				648.211	7.54559834013602	0.006	0.010																
WOA_microscopy_Hypnum.cupressiforme_Plant1_Leaf3	H. cupressifomre_L3	microscopy	Hypnaceae	Hypnum cupressiforme	H. cupressiforme	none	Plant 1	pleurocarp	27.95	1953.567	847.729	1069973.375	9748170.762			708.453	9.111	FALSE						prosenchymatic	55.623	5.601	311.563	2838.546				648.211	5.50377142691881	0.006	0.010																
WOA_microscopy_Hypnum.cupressiforme_Plant2_Leaf1	H. cupressifomre_L4	microscopy	Hypnaceae	Hypnum cupressiforme	H. cupressiforme	none	Plant 2	pleurocarp	25.74	2024.763	773.540	989295.900	9013145.180			708.453	9.111	FALSE						prosenchymatic	47.264	4.673	220.865	2012.224				648.211	5.95260618070780	0.006	0.010																
WOA_microscopy_Hypnum.cupressiforme_Plant2_Leaf2	H. cupressifomre_L5	microscopy	Hypnaceae	Hypnum cupressiforme	H. cupressiforme	none	Plant 2	pleurocarp	25.74	1855.796	853.148	940932.839	8572525.452			708.453	9.111	FALSE						prosenchymatic	52.658	4.938	260.041	2369.148				648.211	6.25856452746134	0.006	0.010																
WOA_microscopy_Hypnum.cupressiforme_Plant2_Leaf3	H. cupressifomre_L6	microscopy	Hypnaceae	Hypnum cupressiforme	H. cupressiforme	none	Plant 2	pleurocarp	25.74	1910.630	740.292	900759.478	8206519.351			708.453	9.111	FALSE						prosenchymatic	57.163	3.735	213.524	1945.347				648.211	6.53769294991408	0.006	0.010																
